zip,rent_psf_monthly,town,source,last_updated,notes
07030,4.3,Hoboken,zori:2026-05-31,2026-06-25,"ZORI $3,867/mo / 900 sqft assumption"
07086,4.16,Weehawken,zori:2026-05-31,2026-06-25,"ZORI $3,748/mo / 900 sqft assumption"
07302,4.24,Jersey City — Downtown / Paulus Hook,zori:2026-05-31,2026-06-25,"ZORI $3,820/mo / 900 sqft assumption"
07304,2.71,Jersey City — Bergen-Lafayette / Greenville,zori:2026-05-31,2026-06-25,"ZORI $2,438/mo / 900 sqft assumption"
07305,2.61,Jersey City — Greenville,zori:2026-05-31,2026-06-25,"ZORI $2,350/mo / 900 sqft assumption"
07306,3.06,Jersey City — Journal Square,zori:2026-05-31,2026-06-25,"ZORI $2,750/mo / 900 sqft assumption"
07307,2.9,Jersey City — Heights,zori:2026-05-31,2026-06-25,"ZORI $2,608/mo / 900 sqft assumption"
07310,4.65,Jersey City — Newport,zori:2026-05-31,2026-06-25,"ZORI $4,187/mo / 900 sqft assumption"
07311,4.16,Jersey City — Exchange Place,zori:2026-05-31,2026-06-25,"ZORI $3,745/mo / 900 sqft assumption"
07701,2.23,Red Bank,zori:2026-05-31,2026-06-25,"ZORI $3,122/mo / 1400 sqft assumption"
07702,2.1,Shrewsbury,preserved,2026-06-25,PLACEHOLDER
07703,2.0,Fort Monmouth,preserved,2026-06-25,PLACEHOLDER
07704,2.3,Fair Haven,preserved,2026-06-25,PLACEHOLDER
07712,2.05,Asbury Park / Ocean Twp,zori:2026-05-31,2026-06-25,"ZORI $2,864/mo / 1400 sqft assumption"
07716,1.83,Atlantic Highlands,zori:2026-05-31,2026-06-25,"ZORI $2,556/mo / 1400 sqft assumption"
07717,2.5,Avon-by-the-Sea,preserved,2026-06-25,PLACEHOLDER — seasonal market
07718,1.8,Belford,preserved,2026-06-25,PLACEHOLDER
07719,2.51,Belmar / Wall,zori:2026-05-31,2026-06-25,"ZORI $3,508/mo / 1400 sqft assumption"
07720,1.88,Bradley Beach,zori:2026-04-30,2026-06-25,"ZORI $2,625/mo / 1400 sqft assumption"
07722,2.2,Colts Neck,preserved,2026-06-25,PLACEHOLDER
07723,3.0,Deal,preserved,2026-06-25,PLACEHOLDER — luxury / seasonal
07724,1.65,Eatontown / Tinton Falls,zori:2026-05-31,2026-06-25,"ZORI $2,306/mo / 1400 sqft assumption"
07726,1.97,Englishtown / Manalapan,zori:2026-05-31,2026-06-25,"ZORI $2,754/mo / 1400 sqft assumption"
07727,1.8,Farmingdale,preserved,2026-06-25,PLACEHOLDER
07728,2.05,Freehold,zori:2026-05-31,2026-06-25,"ZORI $2,872/mo / 1400 sqft assumption"
07730,1.86,Hazlet,zori:2026-04-30,2026-06-25,"ZORI $2,598/mo / 1400 sqft assumption"
07731,2.05,Howell,zori:2026-05-31,2026-06-25,"ZORI $2,864/mo / 1400 sqft assumption"
07732,2.31,Highlands,zori:2026-05-31,2026-06-25,"ZORI $3,229/mo / 1400 sqft assumption"
07733,2.2,Holmdel,preserved,2026-06-25,PLACEHOLDER
07734,1.73,Keansburg,zori:2026-05-31,2026-06-25,"ZORI $2,422/mo / 1400 sqft assumption"
07735,1.79,Keyport,zori:2026-05-31,2026-06-25,"ZORI $2,499/mo / 1400 sqft assumption"
07737,1.85,Leonardo,preserved,2026-06-25,PLACEHOLDER
07738,2.1,Lincroft,preserved,2026-06-25,PLACEHOLDER
07739,2.4,Little Silver,preserved,2026-06-25,PLACEHOLDER
07740,1.94,Long Branch,zori:2026-05-31,2026-06-25,"ZORI $2,715/mo / 1400 sqft assumption"
07746,2.0,Marlboro,preserved,2026-06-25,PLACEHOLDER
07747,1.84,Matawan,zori:2026-05-31,2026-06-25,"ZORI $2,571/mo / 1400 sqft assumption"
07748,2.02,Middletown,zori:2026-05-31,2026-06-25,"ZORI $2,825/mo / 1400 sqft assumption"
07750,2.53,Monmouth Beach,zori:2026-04-30,2026-06-25,"ZORI $3,542/mo / 1400 sqft assumption"
07751,2.35,Morganville,zori:2026-05-31,2026-06-25,"ZORI $3,285/mo / 1400 sqft assumption"
07752,2.3,Navesink,preserved,2026-06-25,PLACEHOLDER
07753,2.14,Neptune,zori:2026-05-31,2026-06-25,"ZORI $2,991/mo / 1400 sqft assumption"
07755,3.14,Oakhurst,zori:2026-05-31,2026-06-25,"ZORI $4,392/mo / 1400 sqft assumption"
07756,1.8,Ocean Grove,zori:2026-05-31,2026-06-25,"ZORI $2,517/mo / 1400 sqft assumption"
07757,2.0,Oceanport,preserved,2026-06-25,PLACEHOLDER
07758,1.8,Port Monmouth,preserved,2026-06-25,PLACEHOLDER
07760,3.96,Rumson / Sea Bright / Locust,zori:2026-05-31,2026-06-25,"ZORI $5,544/mo / 1400 sqft assumption"
07762,3.79,Spring Lake,zori:2026-05-31,2026-06-25,"ZORI $5,308/mo / 1400 sqft assumption"
07764,2.0,West Long Branch,preserved,2026-06-25,PLACEHOLDER
08723,1.93,Brick Township (north),zori:2026-05-31,2026-06-25,"ZORI $2,700/mo / 1400 sqft assumption"
08724,1.98,Brick Township (south) / Brielle border,zori:2026-05-31,2026-06-25,"ZORI $2,767/mo / 1400 sqft assumption"
08738,6.52,Mantoloking,zori:2026-04-30,2026-06-25,"ZORI $9,125/mo / 1400 sqft assumption"
08742,2.35,Point Pleasant Beach / Point Pleasant Boro / Bay Head,zori:2026-05-31,2026-06-25,"ZORI $3,293/mo / 1400 sqft assumption"
08750,2.8,Sea Girt,preserved,2026-06-25,PLACEHOLDER — luxury / seasonal
